seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字猪野1455番地の1,,新明治五丁目,4,7,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
2,大字猪野1455番地の6,,新明治五丁目,4,2,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
3,大字猪野1455番地の7,,新明治五丁目,4,3,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
4,大字猪野1455番地の8,,新明治五丁目,4,4,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
5,大字猪野1455番地の9,,新明治五丁目,4,5,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
6,大字猪野1455番地の10,メゾンドソレイル101,新明治五丁目,4,6,kyuusin-sinnmeiji.pdf,1,high,
7,大字猪野1455番地の10,メゾンドソレイル102,新明治五丁目,4,6,kyuusin-sinnmeiji.pdf,1,high,
8,大字猪野1455番地の10,メゾンドソレイル103,新明治五丁目,4,6,kyuusin-sinnmeiji.pdf,1,high,
9,大字猪野1455番地の10,メゾンドソレイル201,新明治五丁目,4,6,kyuusin-sinnmeiji.pdf,1,high,
10,大字猪野1455番地の10,メゾンドソレイル202,新明治五丁目,4,6,kyuusin-sinnmeiji.pdf,1,high,
11,大字猪野1455番地の10,メゾンドソレイル203,新明治五丁目,4,6,kyuusin-sinnmeiji.pdf,1,high,
12,大字猪野1458番地の4,,新明治五丁目,1,18,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
13,大字猪野1458番地の5,,新明治五丁目,1,17,kyuusin-sinnmeiji.pdf,1,high,資料上通称の記載なし
14,大字猪野1459番地の7,,新明治五丁目,2,9,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
15,大字猪野1459番地の9,,新明治五丁目,2,10,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
16,大字猪野1459番地の10,,新明治五丁目,2,11,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
17,大字猪野1459番地の11,,新明治五丁目,2,12,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
18,大字猪野1459番地の12,,新明治五丁目,2,13,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
19,大字猪野1459番地の13,,新明治五丁目,2,14,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
20,大字猪野1459番地の14,,新明治五丁目,2,15,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし、資料上2回出現
21,大字猪野1459番地の16,,新明治五丁目,3,4,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
22,大字猪野1459番地の17,,新明治五丁目,3,5,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
23,大字猪野1459番地の18,,新明治五丁目,3,6,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
24,大字猪野1459番地の19,,新明治五丁目,3,7,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
25,大字猪野1459番地の20,,新明治五丁目,3,8,kyuusin-sinnmeiji.pdf,2,high,資料上通称の記載なし
26,大字猪野1459番地の22,,新明治五丁目,1,12,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし、資料上2回出現
27,大字猪野1459番地の23,,新明治五丁目,1,13,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし
28,大字猪野1459番地の24,,新明治五丁目,1,14,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし
29,大字猪野1459番地の25,,新明治五丁目,1,15,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし、資料上2回出現
30,大字猪野1459番地の26,,新明治五丁目,1,16,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし
31,大字猪野1459番地の29,,新明治五丁目,1,6,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし
32,大字猪野1459番地の30,,新明治五丁目,1,7,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし
33,大字猪野1459番地の31,,新明治五丁目,1,8,kyuusin-sinnmeiji.pdf,3,high,資料上通称の記載なし
